Rank Only,Rank Change,Name,Assoc,Points
129,↑2,Vincent PICARD / Jules ROLLAND, FRA ,72
130,↑2,Simon GAUZY / Felix LEBRUN, FRA ,70
131,↑2,Luke ABRAHAMS / Kurt LINGEVELDT, RSA ,70
132,↑2,Hasan ALHOURANI / Khaled KHADER, JOR ,70
133,↑2,Azeez SOLANKE / Amadi OMEH, NGR ,70
134,↑2,CAO Wei / XIANG Peng, CHN ,70
135,↑2,Can AKKUZU / Alexis LEBRUN, FRA ,70
136,↑2,Samuel GALVEZ / Isaac VILA, DOM ,70
137,↑2,Ivor BAN / Csaba ANDRAS, CRO / HUN ,70
138,↑2,CHEN Chien-An / LIAO Cheng-Ting, TPE ,65
139,↑2,Miguel PANTOJA / Daniel BERZOSA, ESP ,65
140,↓10,CHO Seungmin / PARK Gyeongtae, KOR ,63
141,↑1,Hayate SUZUKI / Kazuki YOSHIYAMA, JPN ,60
142,↑1,Borna PETEK / Hugo DESCHAMPS, CRO / FRA ,60
143,↑1,QUEK Izaac / Thibault PORET, SGP / FRA ,60
144,↑1,Ricardo WALTHER / Deni KOZUL, GER / SLO ,60
145,↑1,Sajad HOSSEINI / Navid SHAMS, IRI ,57
146,↑65,YANG Tzu-Yi / HUANG Yan-Cheng, TPE ,57
147,,Adrien RASSENFOSSE / Hayate SUZUKI, BEL / JPN ,55
148,,Mishel LEVINSKI / Lilian BARDET, USA / FRA ,55
149,,Lubomir PISTEJ / Jishan LIANG , SVK / USA ,55
150,,Pablo GASTELUM / Juan Jesus GOMEZ, MEX ,55
151,,Iulian CHIRITA / Andrei ISTRATE, ROU ,55
152,,CHOONG Javen / WONG Qi Shen, MAS ,53
153,,Tamas LAKATOS / David SZANTOSI, HUN ,53
154,↓1,KWON Hyuk / LEE Hoyun, KOR ,50
155,↓1,Omar AMMOUS / Wassim ESSID, TUN ,45
156,↓1,Simon EBODE MVILONGO / Ylane BATIX, CMR ,45
157,↓1,Elizandro ANDRE / Edvane NETO, ANG ,45
158,↓1,Vicky WU / Joshua YEE, FIJ ,45
159,↓1,Antonio LEMOS / Hermenegildo SEBASTIAO, ANG ,45
160,↓1,Youssef ABID / Habib AMEUR, TUN ,45
161,↓1,Jai CHAUHAN / Bei Yan ZHANG, FIJ ,45
162,↓1,Gary NUOPULA / Selwyn KOUTO, SOL ,45
163,↓1,Meziane BELABBAS / Charles BANDA, ALG / ZAM ,45
164,↓1,Don Ange Cedric OBA / Oba Kizito OBA, CIV ,45
165,↓1,Ham LULU / Brendan CARLOT, VAN ,45
166,↓1,Jackson KARIKO / David LOI, PNG ,45
167,↓1,Islam TIFOURA / Azzeddine LAZAZI, ALG ,45
168,↓1,Inoke PEPA / Salesi COCKER, TGA ,45
169,↓1,Daniel ARAYA / Alejandro MONTOYA , CRC ,45
170,↓1,Eugene WANG / Edward LY, CAN ,45
171,↓1,Jorge CAMPOS / Livan MARTINEZ, CUB ,45
172,↓1,Sharon ALGUETTI / Jishan LIANG , USA ,45
173,↓1,AN Jaehyun / KIM Taehyun, KOR / AUT ,45
174,,ZHAO Zihao / CHEN Yuanyu, CHN ,45
175,↓2,Tyrese KNIGHT / Ramon MAXWELL, BAR ,45
176,↓2,Carlo ROSSI / John OYEBODE, ITA ,41
177,↓2,Daniel BERZOSA / Rogelio CASTRO, ESP / MEX ,40
178,↓2,LIN Yen-Chun / WANG Chen-You, TPE ,40
179,↓2,Navid SHAMS / Payas JAIN, IRI / IND ,40
180,↓2,Tomokazu HARIMOTO / Hiroto SHINOZUKA, JPN ,40
181,↓2,Ahmed ALAWLAQI / Fahed ALMUGHANNE, QAT ,40
182,↓2,TAN Lucas / CHUA Josh Shao Han, SGP ,38
183,↓2,Samuel WALKER / Tom JARVIS, ENG ,37
184,↓2,Hwan BAE / Aditya SAREEN, AUS ,35
185,↓2,Marcos MADRID / Juan Jesus GOMEZ, MEX ,35
186,↓2,Khalid ASSAR / Youssef ABDEL-AZIZ, EGY ,35
187,↓2,YAN Sheng / WANG Chen Ce, CHN ,33
188,↓2,Francisco SANCHI / Matteo MUTTI, ARG / ITA ,33
189,↓1,Tobias HIPPLER / Benno OEHME, GER ,30
190,↓1,Carlos FERNANDEZ / David SZANTOSI, PER / HUN ,30
191,↓1,Edward LY / Max JI, CAN ,30
192,↓1,Di YU / Changbo LU, USA ,30
193,↓1,CHOY Chun Kit / PAU Yik Man, HKG ,30
194,↓1,Leonardo MUTTI / Tommaso GIOVANNETTI, ITA ,30
195,↓1,Liam PITCHFORD / Tom JARVIS, ENG ,29
196,↓1,Mohammed ABDULWAHHAB / Ahmad Khalil AL-MOHANNADI, QAT ,26
197,↓1,Felipe DUFFOO / Adrian RUBINOS, PER ,25
198,↓1,Snehit SURAVAJJULA / Manush Utpalbhai SHAH, IND ,25
199,↓1,FENG Yi-Hsin / KAO Cheng-Jui, TPE ,25
200,↓1,Lubomir PISTEJ / Florent LAMBIET, SVK / BEL ,25
201,↓1,LEONG Chee Feng / Edward LY, MAS / CAN ,25
202,↓1,Alberto MINO / Marcelo AGUIRRE, ECU / PAR ,25
203,↓1,ZHOU Qihao / XIANG Peng, CHN ,25
204,↓1,LAM Siu Hang / LI Hon Ming, HKG ,25
205,↓1,Enzo LEIVA / Diego ORANTES, ESA ,25
206,↓1,Livan MARTINEZ / Adrian PEREZ , CUB ,25
207,↓1,Marcos MADRID / Ricardo VILLA, MEX ,25
208,↓1,Eric JOUTI / Guilherme TEODORO, BRA ,25
209,↓1,Lubomir PISTEJ / LAM Siu Hang, SVK / HKG ,25
210,↓1,Guilherme TEODORO / Carlos ISHIDA, BRA ,24
211,↓1,Khalid ALSHAREIF / Salem ALSUWAILEM, KSA ,24
212,,Azzam ALIM / Turki ALMUTAIRI, KSA ,23
213,,Stepan BRHEL / Martin SIP, CZE ,22
214,↑1,Benedek OLAH / Alex NAUMI, FIN ,22
215,↓1,Amin AHMADIAN / Amir Hossein HODAEI, IRI ,22
216,,Hayate SUZUKI / Ryoichi YOSHIYAMA, JPN ,20
217,,Sora MATSUSHIMA / Ryoichi YOSHIYAMA, JPN ,20
218,,Yonghun LEE / Rayan VARDINEJAD, AUS ,20
219,,Remi CHAMBET-WEIL / Alexis KOURAICHI, NED / FRA ,20
220,,Luis VANEGAS / Raymondo Jose MEDINA BLANCO, VEN ,20
221,,Santiago MONTES / Camilo GONZALEZ, COL ,20
222,,Thibault PORET / Flavien COTON, FRA ,20
223,,WANG Chen-You / CHANG Yu-An, TPE ,20
224,,Simon BELIK / David SZANTOSI, CZE / HUN ,20
225,,GIL Minseok / LEE Hoyun, KOR ,20
226,,Jash Amit MODI / Remi CHAMBET-WEIL, IND / NED ,20
227,,Hector GATICA / Heber MOSCOSO, GUA ,20
228,,Samuel GALVEZ / Jiaji WU , DOM ,20
229,,Guillermo MUNOZ / Jose Antonio YOU PERDOMO, HON ,20
230,,Christopher FRANKLIN / Shemar BRITTON, GUY ,20
231,,Simon BELIK / Samuel ARPAS, CZE / SVK ,20
232,,Mohammed ABDULWAHHAB / Ahmed SAADAWI, QAT ,19
233,,CHEN Yuanyu / HAN Xinyuan, CHN ,19
234,,Dastan KENZHIGULOV / Irisbek ARTUKMETOV, KAZ ,19
235,,LAM Siu Hang / CHOY Chun Kit, HKG ,19
236,,WOO Hyeonggyu / JANG Seongil, KOR ,19
237,,Takuya JIN / Satoshi AIDA, JPN ,19
238,,Tamas LAKATOS / Amir Hossein HODAEI, HUN / IRI ,19
239,,XU Haidong / SUN Wen, CHN ,19
240,↑1,Alfonso OLAVE / Andres MARTINEZ, CHI ,17
241,↑1,Jordy PICCOLIN / John OYEBODE, ITA ,17
242,↑1,OH Junsung / LEE Hoyun, KOR ,15
243,↑1,Andrea PUPPO / Adam STALZER, ITA / CZE ,15
244,↑1,Mark DOWELL / Marcus SMITH, BAR ,15
245,↑1,Shemar BRITTON / Jonathan VAN LANGE, GUY ,15
246,↑1,Sergio CARRILLO / Diego DE LA CRUZ, GUA ,15
247,↑1,Allan CALVO / Jeison MARTINEZ, CRC ,15
248,↑1,Jaime GALEANO / Edgardo SANCHEZ, ESA ,15
249,↑1,Aaron WILSON / Derron DOUGLAS, TTO ,15
250,↑1,Luis VANEGAS / Cesar Augusto CASTILLO AROCHA, VEN ,15
251,↓11,Alexander CHEN / David SERDAROGLU, AUT ,15
252,,Daniel GONZALEZ / Angel NARANJO, PUR ,14
253,,CHUANG Chih-Yuan / KAO Cheng-Jui, TPE ,14
254,,Aidos KENZHIGULOV / Iskender KHARKI, KAZ ,14
255,,Dean LEVY / Liam BEUKES, RSA ,14
256,,Emmanuel LEBESSON / Lubomir PISTEJ, FRA / SVK ,14
257,,Sanil SHETTY / Payas JAIN, IND ,12
258,,Arush DUTT / Jashan ANTAL, IND ,12
259,,Ronit BHANJA / Jeet CHANDRA, IND ,12
260,,Niagol STOYANOV / Yang WANG, ITA / SVK ,12
261,,Vincent PICARD / Lilian BARDET, FRA ,12
262,,POH Shao Feng Ethan / BEH Kun Ting, SGP ,12
263,↑38,Tomas MARTINKO / Simon BELIK, CZE ,12
264,,Jon PERSSON / Anton KALLBERG, SWE ,10
265,,Bode ABIODUN / Quadri ARUNA, NGR ,10
266,,Simon BELIK / Ondrej KVETON, CZE ,10
267,,Maciej KOLODZIEJCZYK / Vladislav URSU, AUT / MDA ,10
268,,Timothy CHOI / Payas JAJAL, NZL ,10
269,,Maxwell HENDERSON / Alex LIU CAO , NZL ,10
270,,Tal ISRAELI / Tom CLOSSET, ISR / BEL ,10
271,,Borna PETEK / Tom SCHWEIGER, CRO / GER ,10
272,,Daniels KOGANS / Connor GREEN, LAT / ENG ,10
273,,David SZANTOSI / Connor GREEN, HUN / ENG ,10
274,,Vincent SENKBEIL / Andre BERTELSMEIER, GER ,10
275,,Tom SCHWEIGER / Matthias DANZER, GER ,10
276,,Eduardo LIZARAZU / Fernando FERNANDEZ, BOL ,10
277,,Ondrej KVETON / Andre BERTELSMEIER, CZE / GER ,10
278,,Borna PETEK / Oscar BIRRIEL, CRO / PUR ,10
279,,Tom SCHWEIGER / Andre BERTELSMEIER, GER ,10
280,,Hugo DESCHAMPS / Alexis KOURAICHI, FRA ,10
281,,LIU Yebo / ZENG Beixun, CHN ,10
282,,Soroosh AMIRI NIA / Navid SHAMS, IRI ,10
283,,OH Junsung / GIL Minseok, KOR ,10
284,,Lleyton ULLMANN / Matthias DANZER, GER ,10
285,,Tiago APOLONIA / Joao GERALDO, POR ,10
286,,Edward LY / Matteo MARTIN, CAN ,10
287,,Maharu YOSHIMURA / Tomokazu HARIMOTO, JPN ,10
288,,Carlos FERNANDEZ / Adrian RUBINOS, PER ,10
289,,Nicholas YAMANE / LEE Seungsoo, BRA / KOR ,10
290,,Diego PIGUAVE / Paul Ignacio PONCE CEDENO, ECU ,10
291,,Donika ST-FLEUR / Olivier GUERRIER, HAI ,10
292,,Denilson CASTELLON / Genaro ROUSTAN, NCA ,10
293,,Kevin FARLEY / Tyrese KNIGHT, BAR ,10
294,,Jordy PICCOLIN / Antonino AMATO, ITA ,10
295,,Abdullah YIGENLER / Ibrahim GUNDUZ, TUR ,10
296,,Jakub ZELINKA / Adam KLAJBER, SVK ,10
297,,PARK Gyeongtae / PARK Changgeon, KOR ,10
298,↓1,CHEW Zhe Yu Clarence / POH Shao Feng Ethan, SGP ,10
299,↓1,BEH Kun Ting / CHUA Josh Shao Han, SGP ,10
300,↓1,Balazs LEI / David SZANTOSI, HUN ,10
